@relation 'White-TailedDeerWithMonths - Sheet1'

@attribute VegetationType {'Upland Forest','Riparian Grassland','Riparian Forest',Grassland/Prairie,'Mowed Lawn','Outside Park','Upland Scrub',Crop,'Riparian Scrub',Other,Savanna}
@attribute Month numeric
@attribute AvgTempinFahrenheit numeric
@attribute AvgHumidityInPercent numeric
@attribute WeatherCondition {'No rain','No rain to Heavy rain difficult to hear',Snow,'No rain to Snow','Mist or fog','Mist or fog to No rain','Mist or fog to Light rain','No rain to Light rain','Light rain to Mist or fog','Light rain','Light drizzle to Light rain','No rain to Light drizzle','No rain to Mist or fog','Snow to No rain','Light drizzle to No rain','Light rain to Light drizzle','Light drizzle','Light rain to No rain','Light drizzle to Mist or fog','Mist or fog to Light drizzle'}
@attribute AvgCloudCover numeric
@attribute DeerTotal numeric

@data
'Riparian Forest',1,35.42,57.7,'Light rain',97.5,10
'Mowed Lawn',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Riparian Forest',1,35.33,64.25,'Light drizzle to Light rain',97.5,14
'Mowed Lawn',1,47.57,55.6,'No rain',37.5,2
'Mowed Lawn',1,50,44.35,'No rain',1.25,5
'Mowed Lawn',1,50,44.35,'No rain',1.25,5
'Riparian Forest',1,50,44.35,'No rain',1.25,5
'Mowed Lawn',1,49.55,51.4,'No rain',0,4
'Riparian Forest',1,49.55,51.4,'No rain',0,4
'Mowed Lawn',1,49.55,51.4,'No rain',0,4
'Riparian Forest',1,30.02,80.9,'No rain',1.75,1
'Riparian Forest',1,36.68,50,'No rain',0,7
Other,1,36.68,50,'No rain',0,7
'Riparian Forest',1,36.68,50,'No rain',0,7
'Mowed Lawn',1,36.68,50,'No rain',0,7
'Mowed Lawn',2,38.84,71.2,'No rain',50,21
'Mowed Lawn',2,38.84,71.2,'No rain',50,21
'Mowed Lawn',2,38.84,71.2,'No rain',50,21
'Mowed Lawn',2,38.84,71.2,'No rain',50,21
'Mowed Lawn',2,38.84,71.2,'No rain',50,21
'Riparian Forest',2,35.87,86.4,'No rain',50,3
'Riparian Forest',2,36.05,89.45,'No rain',37.5,12
'Riparian Forest',2,36.05,89.45,'No rain',37.5,12
'Mowed Lawn',2,36.05,89.45,'No rain',37.5,12
'Mowed Lawn',2,36.05,89.45,'No rain',37.5,12
'Mowed Lawn',2,70.7,54.05,'No rain',97.5,18
'Mowed Lawn',2,70.7,54.05,'No rain',97.5,18
'Riparian Forest',2,70.7,54.05,'No rain',97.5,18
'Mowed Lawn',2,70.7,54.05,'No rain',97.5,18
'Mowed Lawn',2,70.7,54.05,'No rain',97.5,18
'Riparian Forest',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.36,57.2,'No rain',97.5,23
'Mowed Lawn',2,68.18,53.8,'No rain to Light drizzle',97.5,21
'Mowed Lawn',2,68.18,53.8,'No rain to Light drizzle',97.5,21
'Mowed Lawn',2,68.18,53.8,'No rain to Light drizzle',97.5,21
'Mowed Lawn',2,68.18,53.8,'No rain to Light drizzle',97.5,21
'Riparian Forest',2,68.18,53.8,'No rain to Light drizzle',97.5,21
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Mowed Lawn',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,40.37,55.2,'No rain',7.5,39
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Mowed Lawn',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Mowed Lawn',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,35.33,78.75,'No rain',0,18
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Mowed Lawn',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,32.36,88.95,'No rain',0,19
'Riparian Forest',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Riparian Forest',1,61.7,76,'No rain',85,58
'Mowed Lawn',1,61.7,76,'No rain',85,58
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.82,87.15,'No rain',73.75,48
'Mowed Lawn',1,58.82,87.15,'No rain',73.75,48
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,58.01,93.9,'No rain',38.75,57
'Mowed Lawn',1,58.01,93.9,'No rain',38.75,57
'Riparian Forest',1,47.03,53.25,'No rain',50,34
'Riparian Forest',1,47.03,53.25,'No rain',50,34
'Riparian Forest',1,47.03,53.25,'No rain',50,34
'Mowed Lawn',1,47.03,53.25,'No rain',50,34
'Mowed Lawn',1,47.03,53.25,'No rain',50,34
'Mowed Lawn',1,47.03,53.25,'No rain',50,34
'Riparian Forest',1,47.03,53.25,'No rain',50,34
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Mowed Lawn',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Mowed Lawn',1,45.41,67.5,'No rain',7.5,28
'Mowed Lawn',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,45.41,67.5,'No rain',7.5,28
'Riparian Forest',1,44.15,70.1,'No rain',0,23
'Riparian Forest',1,44.15,70.1,'No rain',0,23
'Riparian Forest',1,44.15,70.1,'No rain',0,23
'Mowed Lawn',1,44.15,70.1,'No rain',0,23
'Mowed Lawn',1,44.15,70.1,'No rain',0,23
'Mowed Lawn',1,44.15,70.1,'No rain',0,23
'Riparian Forest',1,44.15,70.1,'No rain',0,23
'Riparian Forest',1,44.15,70.1,'No rain',0,23
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Mowed Lawn',2,39.92,68.5,'No rain',97.5,28
'Mowed Lawn',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,39.92,68.5,'No rain',97.5,28
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Mowed Lawn',2,37.4,83.2,'No rain',56.25,27
'Mowed Lawn',2,37.4,83.2,'No rain',56.25,27
'Mowed Lawn',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,37.4,83.2,'No rain',56.25,27
'Riparian Forest',2,35.87,92,'No rain',50,24
'Riparian Forest',2,35.87,92,'No rain',50,24
'Riparian Forest',2,35.87,92,'No rain',50,24
'Mowed Lawn',2,35.87,92,'No rain',50,24
'Mowed Lawn',2,35.87,92,'No rain',50,24
'Riparian Forest',2,35.87,92,'No rain',50,24
'Riparian Forest',2,35.87,92,'No rain',50,24
'Riparian Forest',2,35.87,92,'No rain',50,24
Grassland/Prairie,1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
Grassland/Prairie,1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
'Upland Forest',1,28.94,72.95,'No rain',0,40
Grassland/Prairie,1,28.94,72.95,'No rain',0,40
Grassland/Prairie,1,28.94,72.95,'No rain',0,40
'Upland Forest',1,26.96,82.3,'No rain',0,20
Grassland/Prairie,1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
Grassland/Prairie,1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.96,82.3,'No rain',0,20
Grassland/Prairie,1,26.96,82.3,'No rain',0,20
Grassland/Prairie,1,26.96,82.3,'No rain',0,20
'Upland Forest',1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
'Upland Forest',1,26.87,83.55,'No rain',0,21
'Upland Forest',1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
Grassland/Prairie,1,26.87,83.55,'No rain',0,21
'Upland Forest',1,47.84,77.7,'No rain',56.25,17
Grassland/Prairie,1,47.84,77.7,'No rain',56.25,17
'Upland Forest',1,47.84,77.7,'No rain',56.25,17
'Upland Forest',1,47.84,77.7,'No rain',56.25,17
Grassland/Prairie,1,47.84,77.7,'No rain',56.25,17
Grassland/Prairie,1,47.84,77.7,'No rain',56.25,17
Grassland/Prairie,1,47.84,77.7,'No rain',56.25,17
'Mowed Lawn',1,47.84,77.7,'No rain',56.25,17
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
Grassland/Prairie,1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,51.62,70.3,'No rain',97.5,33
Grassland/Prairie,1,51.62,70.3,'No rain',97.5,33
Grassland/Prairie,1,51.62,70.3,'No rain',97.5,33
Grassland/Prairie,1,51.62,70.3,'No rain',97.5,33
Grassland/Prairie,1,51.62,70.3,'No rain',97.5,33
'Mowed Lawn',1,51.62,70.3,'No rain',97.5,33
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
Grassland/Prairie,1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
Grassland/Prairie,1,55.13,62.85,'No rain to Light rain',97.5,59
Grassland/Prairie,1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,55.13,62.85,'No rain to Light rain',97.5,59
Grassland/Prairie,1,55.13,62.85,'No rain to Light rain',97.5,59
Grassland/Prairie,1,55.13,62.85,'No rain to Light rain',97.5,59
'Upland Forest',1,28.76,70.05,'No rain',43.75,17
Grassland/Prairie,1,28.76,70.05,'No rain',43.75,17
'Upland Forest',1,28.76,70.05,'No rain',43.75,17
'Upland Forest',1,28.76,70.05,'No rain',43.75,17
'Upland Forest',1,28.76,70.05,'No rain',43.75,17
'Upland Forest',1,28.76,70.05,'No rain',43.75,17
Grassland/Prairie,1,28.76,70.05,'No rain',43.75,17
Grassland/Prairie,1,28.76,70.05,'No rain',43.75,17
'Upland Forest',1,28.76,74.3,'No rain',85,11
'Upland Forest',1,28.76,74.3,'No rain',85,11
'Upland Forest',1,28.76,74.3,'No rain',85,11
'Upland Forest',1,28.76,74.3,'No rain',85,11
'Upland Forest',1,28.76,74.3,'No rain',85,11
Grassland/Prairie,1,28.76,74.3,'No rain',85,11
Grassland/Prairie,1,28.76,74.3,'No rain',85,11
Grassland/Prairie,1,26.87,79.15,'No rain',50,12
Grassland/Prairie,1,26.87,79.15,'No rain',50,12
'Upland Forest',1,26.87,79.15,'No rain',50,12
'Upland Forest',1,26.87,79.15,'No rain',50,12
'Upland Forest',1,26.87,79.15,'No rain',50,12
Grassland/Prairie,1,26.87,79.15,'No rain',50,12
Grassland/Prairie,1,26.87,79.15,'No rain',50,12
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
Grassland/Prairie,2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
Other,2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
Grassland/Prairie,2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,30.92,81.8,'No rain',26.25,30
Grassland/Prairie,2,30.92,81.8,'No rain',26.25,30
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
Grassland/Prairie,2,27.86,92.3,'No rain',7.5,20
Grassland/Prairie,2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,27.86,92.3,'No rain',7.5,20
Grassland/Prairie,2,27.86,92.3,'No rain',7.5,20
'Upland Forest',2,26.24,94.5,'No rain',0,15
Grassland/Prairie,2,26.24,94.5,'No rain',0,15
Grassland/Prairie,2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
'Upland Forest',2,26.24,94.5,'No rain',0,15
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
'Upland Forest',2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
'Upland Forest',2,32.54,58.9,'No rain',0,37
'Upland Forest',2,32.54,58.9,'No rain',0,37
'Upland Forest',2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
Grassland/Prairie,2,32.54,58.9,'No rain',0,37
'Upland Forest',2,21.2,86.05,'No rain',0,12
'Upland Forest',2,21.2,86.05,'No rain',0,12
'Upland Forest',2,21.2,86.05,'No rain',0,12
Grassland/Prairie,2,21.2,86.05,'No rain',0,12
'Upland Forest',2,21.2,86.05,'No rain',0,12
Grassland/Prairie,1,9.41,57.1,'No rain',7.5,8
Grassland/Prairie,1,9.41,57.1,'No rain',7.5,8
'Upland Forest',1,9.41,57.1,'No rain',7.5,8
'Riparian Forest',1,9.41,57.1,'No rain',7.5,8
'Upland Forest',1,3.92,70.25,'No rain',15,3
'Riparian Forest',1,2.93,75.45,'No rain',7.5,7
'Upland Scrub',1,2.93,75.45,'No rain',7.5,7
'Upland Forest',1,2.93,75.45,'No rain',7.5,7
Grassland/Prairie,1,2.93,75.45,'No rain',7.5,7
Grassland/Prairie,1,50.45,69.2,'No rain',97.5,40
Grassland/Prairie,1,50.45,69.2,'No rain',97.5,40
Grassland/Prairie,1,50.45,69.2,'No rain',97.5,40
Grassland/Prairie,1,50.45,69.2,'No rain',97.5,40
'Upland Forest',1,50.45,69.2,'No rain',97.5,40
Crop,1,50.45,69.2,'No rain',97.5,40
Crop,1,50.45,69.2,'No rain',97.5,40
'Upland Forest',1,50.45,69.2,'No rain',97.5,40
Grassland/Prairie,1,46.49,84.3,'No rain',97.5,30
Crop,1,46.49,84.3,'No rain',97.5,30
Grassland/Prairie,1,46.49,84.3,'No rain',97.5,30
Crop,1,46.49,84.3,'No rain',97.5,30
Crop,1,46.49,84.3,'No rain',97.5,30
'Upland Forest',1,46.49,84.3,'No rain',97.5,30
Grassland/Prairie,1,46.22,86.15,'No rain',97.5,33
Grassland/Prairie,1,46.22,86.15,'No rain',97.5,33
Grassland/Prairie,1,46.22,86.15,'No rain',97.5,33
Crop,1,46.22,86.15,'No rain',97.5,33
Crop,1,46.22,86.15,'No rain',97.5,33
'Upland Forest',1,46.22,86.15,'No rain',97.5,33
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
'Riparian Forest',1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
'Riparian Forest',1,39.92,79.9,'No rain to Mist or fog',97.5,65
'Upland Forest',1,39.92,79.9,'No rain to Mist or fog',97.5,65
Crop,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Crop,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Crop,1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,39.92,79.9,'No rain to Mist or fog',97.5,65
'Upland Forest',1,39.92,79.9,'No rain to Mist or fog',97.5,65
'Upland Forest',1,39.92,79.9,'No rain to Mist or fog',97.5,65
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
'Upland Forest',1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Crop,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
Grassland/Prairie,1,38.48,94.55,'Mist or fog',97.5,42
'Upland Forest',1,38.48,94.55,'Mist or fog',97.5,42
'Upland Forest',1,39.56,75.2,'No rain',91.25,50
Grassland/Prairie,1,39.56,75.2,'No rain',91.25,50
Grassland/Prairie,1,39.56,75.2,'No rain',91.25,50
'Upland Scrub',1,39.56,75.2,'No rain',91.25,50
Grassland/Prairie,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,39.56,75.2,'No rain',91.25,50
Crop,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Grassland/Prairie,1,37.22,83.1,'No rain',91.25,45
Grassland/Prairie,1,37.22,83.1,'No rain',91.25,45
Grassland/Prairie,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Crop,1,37.22,83.1,'No rain',91.25,45
Grassland/Prairie,1,35.78,87.3,'No rain',67.5,50
Grassland/Prairie,1,35.78,87.3,'No rain',67.5,50
Grassland/Prairie,1,35.78,87.3,'No rain',67.5,50
Grassland/Prairie,1,35.78,87.3,'No rain',67.5,50
Grassland/Prairie,1,35.78,87.3,'No rain',67.5,50
Crop,1,35.78,87.3,'No rain',67.5,50
Crop,1,35.78,87.3,'No rain',67.5,50
Crop,1,35.78,87.3,'No rain',67.5,50
Crop,1,35.78,87.3,'No rain',67.5,50
Grassland/Prairie,2,33.89,89.6,'Mist or fog',97.5,42
Grassland/Prairie,2,33.89,89.6,'Mist or fog',97.5,42
'Upland Forest',2,33.89,89.6,'Mist or fog',97.5,42
'Riparian Scrub',2,33.89,89.6,'Mist or fog',97.5,42
'Riparian Scrub',2,33.89,89.6,'Mist or fog',97.5,42
Grassland/Prairie,2,33.89,89.6,'Mist or fog',97.5,42
'Riparian Grassland',2,33.89,89.6,'Mist or fog',97.5,42
Crop,2,33.89,89.6,'Mist or fog',97.5,42
Crop,2,33.89,89.6,'Mist or fog',97.5,42
Crop,2,33.89,89.6,'Mist or fog',97.5,42
Crop,2,33.89,89.6,'Mist or fog',97.5,42
Grassland/Prairie,2,33.89,89.6,'Mist or fog',97.5,42
Grassland/Prairie,2,33.89,94.4,'Mist or fog',97.5,31
'Riparian Grassland',2,33.89,94.4,'Mist or fog',97.5,31
Crop,2,33.89,94.4,'Mist or fog',97.5,31
Crop,2,33.89,94.4,'Mist or fog',97.5,31
Crop,2,33.89,94.4,'Mist or fog',97.5,31
Crop,2,33.89,94.4,'Mist or fog',97.5,31
Crop,2,33.89,94.4,'Mist or fog',97.5,31
Grassland/Prairie,2,33.89,94.4,'Mist or fog',97.5,31
'Upland Forest',2,34.52,94.8,'Mist or fog',97.5,29
Grassland/Prairie,2,34.52,94.8,'Mist or fog',97.5,29
'Riparian Grassland',2,34.52,94.8,'Mist or fog',97.5,29
Crop,2,34.52,94.8,'Mist or fog',97.5,29
Crop,2,34.52,94.8,'Mist or fog',97.5,29
Grassland/Prairie,2,34.52,94.8,'Mist or fog',97.5,29
Crop,2,34.52,94.8,'Mist or fog',97.5,29
Other,2,34.52,94.8,'Mist or fog',97.5,29
'Upland Scrub',2,33.71,64.35,'No rain',97.5,53
'Mowed Lawn',2,33.71,64.35,'No rain',97.5,53
Grassland/Prairie,2,33.71,64.35,'No rain',97.5,53
Grassland/Prairie,2,33.71,64.35,'No rain',97.5,53
'Upland Scrub',2,33.71,64.35,'No rain',97.5,53
'Upland Forest',2,33.71,64.35,'No rain',97.5,53
Grassland/Prairie,2,33.71,64.35,'No rain',97.5,53
Crop,2,33.71,64.35,'No rain',97.5,53
Crop,2,33.71,64.35,'No rain',97.5,53
Crop,2,33.71,64.35,'No rain',97.5,53
'Upland Scrub',2,33.71,64.35,'No rain',97.5,53
Grassland/Prairie,2,31.73,71.5,'No rain',97.5,39
Grassland/Prairie,2,31.73,71.5,'No rain',97.5,39
'Upland Scrub',2,31.73,71.5,'No rain',97.5,39
'Upland Forest',2,31.73,71.5,'No rain',97.5,39
Grassland/Prairie,2,31.73,71.5,'No rain',97.5,39
Grassland/Prairie,2,31.73,71.5,'No rain',97.5,39
Crop,2,31.73,71.5,'No rain',97.5,39
Crop,2,31.73,71.5,'No rain',97.5,39
Crop,2,31.73,71.5,'No rain',97.5,39
Grassland/Prairie,2,31.73,71.5,'No rain',97.5,39
'Riparian Forest',1,43.97,50.8,'No rain',8.75,45
'Riparian Forest',1,43.97,50.8,'No rain',8.75,45
'Riparian Forest',1,43.97,50.8,'No rain',8.75,45
